到货情况,产品名称,标题后缀,产品颜色/规格,产品图,,,,尺寸图仅供参考尺寸 颜色以第二列为准,    进货价,核价价格,发货地,上品填写供货价按照进价x2.5,实拍图,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仓库现货 可上架,卫生间收纳柜,A026,规格一：3层,"=DISPIMG(""ID_7DE0F0E72ED7495BAFB3F5DC909FF548"",1)",,,,,,进货价三层88  四层113 五层130   核价 249 324 375 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
无样品 可能需要资质不上,厨房碗碟架,A085,黑色三层全套,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仓库现货 可上架,车后备箱收纳盒不带木板,A086,黑色,,,,,,36,110-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仓库现货 可上架,宠物楼梯,A087,三步灰色,,,,,,34,110-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仓库现货 可上架,20套塑料花园边栏,A088,黑色/灰色(20pc),,,,,,30,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仓库现货 可上架,3层带轮洗衣篮,A089,灰色,,,,,,66,165-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仓库现货 可上架,全尺寸人体骨架,A090,90cm/35.43英寸,,,,,,26,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
只有样品可上品 核价,旋转餐盘,A091,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
只有样品可上品 核价,,A092,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
暂无样品,,A093,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有样品可核价,双层吸盘浴室架,A094,白  灰,,,,,,20,55-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
直接上有产品,落地旋转衣架,A095,黑1/2层     白1/2层,,,,,,一层17  二层22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
直接上有产品,R形置物架,A096,黑/白,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,钓鱼盲盒,A097,B款,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A098,C款,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,无笑脸旋转椅子,A099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
