序号,产品名称,标题后缀,规格数组,规格单位,进货价,实拍图数组,视频链接,到货状态(能上或者不能上)
27,厨房碗碟架,A085,["黑色三层全套"],颜色/款式,29,["A085.jpg"],,1
28,车后备箱收纳盒不带木板,A086,["黑色"],颜色/款式,35,["A086.jpg"],,1
29,宠物楼梯,A087,["三步灰色"],颜色/款式,34,["A087.jpg"],,1
30,20套塑料花园边栏,A088,"[""黑色20"",""灰色20""]",颜色/pc,31,["A088.jpg"],,1
31,3层带轮洗衣篮,A089,["白色"],颜色/款式,67,["A089.jpg"],,1
32,全尺寸人体骨架,A090,["90"],cm,30,["A090.jpg"],,1
33,旋转餐盘,A091,["灰白"],颜色/款式,68,["A091.jpg"],,1
34,五层收纳柜,A092,["白色"],颜色/款式,186,["A092.jpg"],,1
35,爬坡便携收纳箱,A093,,,115,["A093.jpg"],,0
36,双层吸盘浴室架,A094,"[""白"", ""灰""]",颜色/款式,26,["A094.jpg"],,1
37,落地旋转衣架,A095,"[""白1/2"", ""灰1/2""]",层,"[""15"", ""20""]",["A095.jpg"],,1
38,R形置物架,A096,"[""黑"", ""白""]",颜色/款式,15,["A096.jpg"],,1
39,钓鱼盲盒,A097/A098,"[""B款"", ""C款""]",规格,38,"[""A097.jpg"",""A098.jpg""]",,1
40,无笑脸旋转椅子,A099,"[""蓝"", ""灰"", ""橙"", ""红""]",颜色/款式,51,["A099.jpg"],,1
41,充气平衡训练器,WD1,"[""46cm光面波速球粉色"", ""46cm光面波速球 灰色""]",cm/颜色,53,["WD1.jpg"],,1
42,家用臀腿训练机,WD2,["黑色"],颜色/款式,278,["WD2.jpg"],,1
43,折叠两用修车凳,WD4,["黑红色"],颜色/款式,75,["WD4.jpg"],,1
44,多层鞋柜,WD5,"[""黑色9"", ""白色9""]",颜色/层,78,["WD5.jpg"],,1
45,割草机支撑轮,WD6,["黑色"],颜色/款式,28,["WD6.jpg"],,1
46,通用摩托车后备箱,WD7,["57"],升,96,["WD7.jpg"],,1
47,3层亚克力展示柜,WD8,["白色三层展示柜"],颜色/款式,19,["WD8.jpg"],,1
48,3合1汽车雪铲,WD9,["三合一雪铲"],规格,28,["WD9.jpg"],,1
49,旋转调味罐收纳架,WD10,["黑色"],颜色/款式,30,["WD10.jpg"],,1
50,折叠晾衣架,WD11,["篮色"],颜色/款式,46,["WD11.jpg"],,1
51,手动折叠三轮车,WD12,["白色"],颜色/款式,96,["WD12.jpg"],,1
52,双排9层鞋架,WD13,["白色双排9"],颜色/款式/层,175,["WD13.jpg"],,1
53,户外成人折叠泳池,WD14,"[""210"", ""260""]",cm,"[""320"", ""390""]",,,1
54,润滑枪套装,WD15,["黄色10件"],套,48,["WD15.jpg"],,1
55,割草机背带,WD16,["黄色"],颜色/款式,29,["WD16.jpg"],,1
56,脚踏健身器,WD18,["白黑色"],颜色/款式,33,["WD18.jpg"],,1
57,浴室板,A101,["透明色"],颜色/款式,27,["A101.jpg"],,1
58,多功能置物架,A100,["白色"],颜色/款式,76,["A100.jpg"],,1
